OrderID,CustomerID,CompanyName,ProductID,ProductName,Category,RegionID,RegionName,OrderDate,Quantity,UnitPrice,TotalPrice,OrderStatus
ORD-0001,C005,AI Systems,P002,Smartphone,Electronics,R004,West,2023-05-18,1,1344,1344,Delivered
ORD-0001,C005,AI Systems,P004,Monitor,Electronics,R004,West,2023-05-18,1,390,390,Delivered
ORD-0001,C005,AI Systems,P005,Keyboard,Accessories,R004,West,2023-05-18,4,1140,4560,Delivered
ORD-0002,C001,TechCorp,P003,Tablet,Electronics,R001,North,2023-07-30,1,200,200,Shipped
ORD-0002,C001,TechCorp,P006,Mouse,Accessories,R001,North,2023-07-30,2,1105,2210,Shipped
ORD-0003,C002,InnovaSolutions,P005,Keyboard,Accessories,R001,North,2023-04-30,2,539,1078,Shipped
ORD-0003,C002,InnovaSolutions,P002,Smartphone,Electronics,R001,North,2023-04-30,3,439,1317,Shipped
ORD-0004,C007,NextGen Consulting,P008,Smartwatch,Electronics,R001,North,2023-10-05,3,1435,4305,Delivered
ORD-0004,C007,NextGen Consulting,P005,Keyboard,Accessories,R001,North,2023-10-05,2,668,1336,Delivered
ORD-0004,C007,NextGen Consulting,P007,Headphones,Accessories,R001,North,2023-10-05,2,213,426,Delivered
ORD-0005,C003,DataWorks,P008,Smartwatch,Electronics,R002,South,2023-08-21,1,888,888,Delivered
ORD-0005,C003,DataWorks,P007,Headphones,Accessories,R002,South,2023-08-21,4,384,1536,Delivered
ORD-0006,C004,CloudNet,P002,Smartphone,Electronics,R003,East,2023-08-23,5,529,2645,Cancelled
ORD-0007,C008,CyberSecure,P002,Smartphone,Electronics,R003,East,2023-02-20,3,1493,4479,Cancelled
ORD-0008,C002,InnovaSolutions,P008,Smartwatch,Electronics,R002,South,2023-12-29,3,698,2094,Cancelled
ORD-0008,C002,InnovaSolutions,P005,Keyboard,Accessories,R002,South,2023-12-29,5,710,3550,Cancelled
ORD-0008,C002,InnovaSolutions,P001,Laptop,Electronics,R002,South,2023-12-29,1,682,682,Cancelled
ORD-0009,C003,DataWorks,P006,Mouse,Accessories,R003,East,2023-12-10,3,1479,4437,Pending
ORD-0009,C003,DataWorks,P007,Headphones,Accessories,R003,East,2023-12-10,5,847,4235,Pending
ORD-0009,C003,DataWorks,P004,Monitor,Electronics,R003,East,2023-12-10,4,345,1380,Pending
ORD-0010,C006,GreenTech,P001,Laptop,Electronics,R001,North,2023-09-28,5,923,4615,Delivered
ORD-0010,C006,GreenTech,P002,Smartphone,Electronics,R001,North,2023-09-28,1,819,819,Delivered
ORD-0010,C006,GreenTech,P008,Smartwatch,Electronics,R001,North,2023-09-28,3,308,924,Delivered
ORD-0011,C002,InnovaSolutions,P004,Monitor,Electronics,R003,East,2023-08-12,3,399,1197,Cancelled
ORD-0012,C007,NextGen Consulting,P006,Mouse,Accessories,R001,North,2023-04-30,1,400,400,Shipped
ORD-0012,C007,NextGen Consulting,P008,Smartwatch,Electronics,R001,North,2023-04-30,1,1122,1122,Shipped
ORD-0012,C007,NextGen Consulting,P003,Tablet,Electronics,R001,North,2023-04-30,3,1256,3768,Shipped
ORD-0013,C007,NextGen Consulting,P003,Tablet,Electronics,R004,West,2023-06-26,4,518,2072,Delivered
ORD-0013,C007,NextGen Consulting,P005,Keyboard,Accessories,R004,West,2023-06-26,3,697,2091,Delivered
ORD-0013,C007,NextGen Consulting,P001,Laptop,Electronics,R004,West,2023-06-26,4,1455,5820,Delivered
ORD-0014,C006,GreenTech,P002,Smartphone,Electronics,R003,East,2023-12-14,1,573,573,Cancelled
ORD-0014,C006,GreenTech,P007,Headphones,Accessories,R003,East,2023-12-14,4,300,1200,Cancelled
ORD-0015,C002,InnovaSolutions,P005,Keyboard,Accessories,R001,North,2023-10-23,1,123,123,Pending
ORD-0015,C002,InnovaSolutions,P008,Smartwatch,Electronics,R001,North,2023-10-23,3,343,1029,Pending
ORD-0016,C006,GreenTech,P003,Tablet,Electronics,R004,West,2023-05-18,2,1068,2136,Cancelled
ORD-0016,C006,GreenTech,P008,Smartwatch,Electronics,R004,West,2023-05-18,2,589,1178,Cancelled
ORD-0017,C008,CyberSecure,P005,Keyboard,Accessories,R003,East,2023-04-21,2,578,1156,Cancelled
ORD-0017,C008,CyberSecure,P008,Smartwatch,Electronics,R003,East,2023-04-21,1,444,444,Cancelled
ORD-0018,C008,CyberSecure,P007,Headphones,Accessories,R001,North,2023-09-13,1,440,440,Shipped
ORD-0018,C008,CyberSecure,P001,Laptop,Electronics,R001,North,2023-09-13,3,1382,4146,Shipped
ORD-0019,C004,CloudNet,P007,Headphones,Accessories,R004,West,2023-07-29,4,613,2452,Pending
ORD-0019,C004,CloudNet,P002,Smartphone,Electronics,R004,West,2023-07-29,2,1439,2878,Pending
ORD-0019,C004,CloudNet,P004,Monitor,Electronics,R004,West,2023-07-29,5,551,2755,Pending
ORD-0020,C007,NextGen Consulting,P008,Smartwatch,Electronics,R001,North,2023-02-20,2,808,1616,Shipped
ORD-0020,C007,NextGen Consulting,P006,Mouse,Accessories,R001,North,2023-02-20,4,873,3492,Shipped
ORD-0020,C007,NextGen Consulting,P005,Keyboard,Accessories,R001,North,2023-02-20,4,1098,4392,Shipped
ORD-0021,C004,CloudNet,P008,Smartwatch,Electronics,R003,East,2023-08-21,5,54,270,Cancelled
ORD-0021,C004,CloudNet,P007,Headphones,Accessories,R003,East,2023-08-21,5,1400,7000,Cancelled
ORD-0022,C007,NextGen Consulting,P001,Laptop,Electronics,R004,West,2023-01-17,2,909,1818,Cancelled
ORD-0022,C007,NextGen Consulting,P004,Monitor,Electronics,R004,West,2023-01-17,1,1456,1456,Cancelled
ORD-0022,C007,NextGen Consulting,P007,Headphones,Accessories,R004,West,2023-01-17,5,1226,6130,Cancelled
ORD-0023,C005,AI Systems,P003,Tablet,Electronics,R001,North,2023-07-22,1,440,440,Delivered
ORD-0024,C002,InnovaSolutions,P005,Keyboard,Accessories,R003,East,2023-11-23,2,229,458,Shipped
ORD-0024,C002,InnovaSolutions,P002,Smartphone,Electronics,R003,East,2023-11-23,3,368,1104,Shipped
ORD-0024,C002,InnovaSolutions,P007,Headphones,Accessories,R003,East,2023-11-23,2,1408,2816,Shipped
ORD-0025,C002,InnovaSolutions,P007,Headphones,Accessories,R002,South,2023-04-06,5,767,3835,Cancelled
ORD-0025,C002,InnovaSolutions,P004,Monitor,Electronics,R002,South,2023-04-06,4,1486,5944,Cancelled
ORD-0025,C002,InnovaSolutions,P008,Smartwatch,Electronics,R002,South,2023-04-06,5,787,3935,Cancelled
ORD-0026,C005,AI Systems,P002,Smartphone,Electronics,R001,North,2023-12-28,3,1490,4470,Shipped
